ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym
2025-07-22 05:00:00+00:00,5,2025,4666,7.73973839684248,7.850824381602085,8.241899757893288,XAGUSD
2025-07-22 09:00:00+00:00,9,2025,4666,7.7281743476135745,7.728153201137562,7.73554741890414,XAGUSD
2025-07-22 17:00:00+00:00,17,2025,4741,7.6550140341926864,7.6618485738982836,7.660291601765451,XAGUSD
2025-07-30 01:00:00+00:00,1,2025,3700,7.878254705333154,7.882636157029999,7.8860207139480405,XAGUSD
2025-07-30 05:00:00+00:00,5,2025,2275,7.869884575026531,8.095775814694202,8.633432312582901,XAGUSD
2025-07-30 17:00:00+00:00,17,2025,3071,7.9634741983439,7.963760945267416,7.967069446288976,XAGUSD
2025-08-08 01:00:00+00:00,1,2025,7528,54.01295262067595,56.46237515508431,94.03606501013746,XAGUSD
2025-08-08 05:00:00+00:00,5,2025,4140,47.518341590053566,40.92808407497633,67.03461803719892,XAGUSD
2025-08-08 13:00:00+00:00,13,2025,11479,9.127537781485856,9.120322773303279,10.20026520801071,XAGUSD
2025-08-08 17:00:00+00:00,17,2025,5058,7.832284677440707,7.965215665585641,8.091565195828618,XAGUSD
2025-08-18 01:00:00+00:00,1,2025,3853,7.876082961405626,7.8790931404547955,7.884984361447982,XAGUSD
2025-08-18 05:00:00+00:00,5,2025,2602,7.873395795606943,7.872097301284733,7.88084167389107,XAGUSD
2025-08-18 09:00:00+00:00,9,2025,2725,7.867614277097673,7.867834437062322,7.873809086375984,XAGUSD
2025-08-18 13:00:00+00:00,13,2025,7002,7.866582756450895,7.865786783963702,7.876496534341823,XAGUSD
2025-08-18 17:00:00+00:00,17,2025,1787,7.889961339187869,7.890284333543666,7.894944603805662,XAGUSD
2025-08-27 01:00:00+00:00,1,2025,3486,7.775848215441287,7.77745740747841,7.780284758422453,XAGUSD
2025-08-27 05:00:00+00:00,5,2025,1988,7.795244900610923,7.796914150740213,7.801529099703838,XAGUSD
2025-08-27 09:00:00+00:00,9,2025,3053,7.827175954915762,7.8365021547926395,7.864314362859763,XAGUSD
