symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
ADAUSDT,ret_4h,24h,-0.03108,0.01319,True,-13.87,0.75,False,False,7,0.86,689701
ADAUSDT,prem,1h,-0.0066,0.00376,True,-1.82,0.5,False,False,7,0.86,690025
ADAUSDT,prem,4h,-0.00603,0.01021,False,-2.04,0.75,False,False,7,0.86,689989
ADAUSDT,prem,8h,-0.00823,0.01446,False,-3.79,0.75,False,False,7,1.0,689941
ADAUSDT,prem,12h,-0.00771,0.00911,False,-3.71,0.75,False,False,7,1.0,689893
ADAUSDT,prem,24h,0.0021,0.02709,False,10.67,0.5,False,False,7,0.14,689749
ADAUSDT,prem_z,1h,-0.01809,0.00352,True,-2.83,0.75,False,False,7,0.86,689881
ADAUSDT,prem_z,4h,-0.01642,0.00673,True,-5.5,1.0,False,False,7,0.86,689845
ADAUSDT,prem_z,8h,-0.02022,0.01242,True,-12.74,1.0,False,False,7,1.0,689797
ADAUSDT,prem_z,12h,-0.0271,0.00681,True,-20.91,1.0,True,False,7,1.0,689749
ADAUSDT,prem_z,24h,-0.02637,0.00934,True,-29.0,1.0,True,True,7,1.0,689605
ADAUSDT,dprem_1h,1h,-0.00956,0.00297,True,-2.18,0.5,False,False,7,0.86,690013
ADAUSDT,dprem_1h,4h,-0.00668,0.00226,True,-3.26,0.5,False,False,7,0.86,689977
ADAUSDT,dprem_1h,8h,-0.00429,0.00141,True,-2.99,0.5,False,False,7,0.71,689929
ADAUSDT,dprem_1h,12h,-0.00383,0.00161,True,-5.17,0.5,False,False,7,0.71,689881
ADAUSDT,dprem_1h,24h,-0.00409,0.00103,True,-8.42,0.5,False,False,7,0.86,689737
