symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
AVAXUSDT,ret_4h,4h,9.31,-4.61,-3.72,-1.44,2.48
AVAXUSDT,ret_4h,8h,13.74,-5.5,-4.38,-3.57,3.86
AVAXUSDT,ret_4h,12h,18.97,-6.86,-6.69,-5.33,6.74
AVAXUSDT,ret_4h,24h,31.03,-14.18,-14.57,-4.55,16.78
AVAXUSDT,prem,1h,1.84,-1.13,-1.79,1.26,0.37
AVAXUSDT,prem,4h,3.4,-3.54,-5.38,4.93,2.73
AVAXUSDT,prem,8h,2.24,-7.44,-9.5,11.66,7.22
AVAXUSDT,prem,12h,1.71,-11.06,-12.5,17.65,10.55
AVAXUSDT,prem,24h,-2.22,-20.77,-23.11,27.75,32.72
AVAXUSDT,prem_z,1h,2.2,1.45,-1.09,-0.86,-1.07
AVAXUSDT,prem_z,4h,5.02,4.66,-2.21,-1.43,-3.4
AVAXUSDT,prem_z,8h,6.08,6.72,-3.22,-1.63,-2.62
AVAXUSDT,prem_z,12h,10.29,7.98,-4.24,-2.18,-3.87
AVAXUSDT,prem_z,24h,10.04,9.36,-2.1,0.55,-3.16
AVAXUSDT,dprem_1h,1h,1.0,-0.53,-0.09,-0.4,0.56
AVAXUSDT,dprem_1h,4h,5.19,-1.82,1.2,-2.93,0.48
AVAXUSDT,dprem_1h,8h,6.13,-3.56,2.87,-4.04,2.76
AVAXUSDT,dprem_1h,12h,9.61,-5.3,3.08,-6.06,5.08
AVAXUSDT,dprem_1h,24h,17.88,-9.44,4.75,-10.98,12.22
AVAXUSDT,dprem_4h,1h,2.86,0.07,-0.2,-1.48,-0.74
AVAXUSDT,dprem_4h,4h,5.9,-0.2,0.46,-2.83,-1.31
AVAXUSDT,dprem_4h,8h,6.41,-1.95,1.51,-3.35,1.53
AVAXUSDT,dprem_4h,12h,10.18,-3.21,0.87,-5.2,4.21
AVAXUSDT,dprem_4h,24h,16.59,-5.73,3.45,-9.25,9.45
AVAXUSDT,lev_1h,1h,0.31,-0.38,-0.02,-0.62,1.25
AVAXUSDT,lev_1h,4h,2.17,-2.52,1.26,-2.44,3.63
AVAXUSDT,lev_1h,8h,3.73,-3.67,2.55,-3.72,5.28
AVAXUSDT,lev_1h,12h,8.29,-5.77,2.91,-5.51,6.51
